# Q-Learning Policy
# Grid dimensions: 10x10
# States: 100, Actions: 4
# Format: state_x,state_y,action_up,action_down,action_left,action_right,best_action
0,0,-9.249,-0.289,-9.618,-0.287,3
1,0,-10.101,-0.296,-0.302,-0.278,3
2,0,-9.441,-0.262,-0.290,-0.259,3
3,0,-9.471,-0.227,-0.261,-0.219,3
4,0,-9.008,-0.198,-0.205,-0.199,1
5,0,-8.862,-0.169,-0.189,-0.176,1
6,0,-7.503,-0.131,-0.201,-0.125,3
7,0,-5.223,-0.102,-0.118,-0.102,3
8,0,-6.145,-0.086,-0.089,-0.083,3
9,0,-1.900,-0.070,-0.071,-4.103,1
0,1,-0.288,-0.278,-9.881,-0.307,1
1,1,-0.301,-0.304,-0.302,-0.318,0
2,1,-0.278,-0.265,-0.319,-0.266,1
3,1,-0.224,-0.227,-0.264,-0.232,0
4,1,-0.192,-0.207,-0.213,-0.195,0
5,1,-0.182,-7.517,-0.155,-0.160,2
6,1,-0.124,-0.116,-0.141,-0.135,1
7,1,-0.101,-0.093,-0.117,-0.102,1
8,1,-0.088,-0.081,-0.086,-0.082,1
9,1,-0.074,-0.073,-0.077,-3.446,1
0,2,-0.283,-0.243,-9.727,-0.277,1
1,2,-0.263,-0.262,-0.267,-0.268,1
2,2,-0.244,-0.248,-0.241,-0.249,2
3,2,-0.226,-8.609,-0.229,-0.226,0
4,2,-0.203,-0.203,-0.208,-7.242,1
6,2,-0.104,-0.084,-7.211,-0.087,1
7,2,-0.076,-0.065,-0.090,-0.064,3
8,2,-0.082,-0.052,-0.047,-0.054,2
9,2,-0.065,-0.052,-0.048,-5.222,2
0,3,-0.244,-0.229,-9.044,-0.221,3
1,3,-0.265,-0.226,-0.238,-0.226,3
2,3,-0.223,-0.213,-0.228,-9.305,1
4,3,-0.177,-0.179,-9.281,-9.730,0
6,3,-0.076,-0.062,-3.448,-0.071,1
7,3,-0.050,-0.045,-0.063,-0.053,1
8,3,-0.034,-0.038,-0.045,-0.047,0
9,3,-0.030,-0.043,-0.031,-3.442,0
0,4,-0.226,-0.193,-7.524,-0.199,1
1,4,-0.214,-0.195,-0.197,-0.194,3
2,4,-0.187,-0.179,-0.184,-8.981,1
4,4,-0.156,-0.146,-7.497,-6.545,1
6,4,-0.056,-0.068,-2.712,-0.047,3
7,4,-0.040,-0.038,-0.053,-0.035,3
8,4,-0.029,-0.035,-0.021,-0.030,2
9,4,-0.027,-0.037,-0.027,-1.000,0
0,5,-0.162,-0.161,-6.587,-0.172,1
1,5,-0.173,-0.166,-0.164,-0.162,3
2,5,-0.158,-0.154,-0.154,-4.131,1
4,5,-0.122,-0.102,-4.102,-0.103,1
5,5,-6.142,-0.070,-0.102,-0.067,3
6,5,-0.061,-0.049,-0.053,-0.061,1
7,5,-0.048,-4.690,-0.044,-0.045,2
8,5,-0.029,-0.042,-0.032,-0.044,0
9,5,-0.020,-0.062,-0.032,-1.900,0
0,6,-0.167,-0.106,-4.116,-0.118,1
1,6,-0.147,-0.127,-0.118,-0.136,2
2,6,-0.144,-0.119,-0.137,-0.114,3
3,6,-6.153,-0.085,-0.096,-0.085,1
4,6,-0.107,-0.065,-0.081,-0.071,1
5,6,-0.075,-0.045,-0.056,-0.060,1
6,6,-0.056,-0.029,-0.051,-3.442,1
8,6,-0.037,-0.010,-1.901,-0.031,1
9,6,-0.036,-0.027,-0.037,-2.711,1
0,7,-0.093,-0.087,-8.181,-0.089,1
1,7,-0.114,-0.104,-0.094,-0.105,2
2,7,-0.108,-0.102,-0.084,-0.097,2
3,7,-0.083,-0.078,-0.090,-0.078,3
4,7,-0.048,-0.049,-0.079,-0.061,0
5,7,-0.047,-0.038,-0.043,-0.050,1
6,7,-0.029,-0.035,-0.032,-1.902,0
8,7,-0.010,10.000,0.000,0.000,1
9,7,-0.010,-0.010,-0.010,0.000,3
0,8,-0.066,-0.084,-6.882,-0.079,0
1,8,-0.101,-0.079,-0.077,-0.084,2
2,8,-0.081,-0.079,-0.078,-0.084,2
3,8,-0.073,-0.079,-0.062,-0.060,3
4,8,-0.046,-0.052,-0.042,-0.054,2
5,8,-0.039,-0.052,-0.032,-0.037,2
6,8,-0.019,-0.044,-0.020,-0.027,0
7,8,-1.900,-0.034,-0.019,0.000,3
8,8,0.000,0.000,0.000,0.000,0
9,8,0.000,-0.010,10.000,-1.000,2
0,9,-0.084,-3.441,-1.000,-0.070,3
1,9,-0.062,-6.142,-0.078,-0.066,0
2,9,-0.068,-4.109,-0.067,-0.066,3
3,9,-0.064,-2.716,-0.069,-0.060,3
4,9,-0.062,-4.100,-0.038,-0.057,2
5,9,-0.048,-1.902,-0.059,-0.041,3
6,9,-0.029,-3.443,-0.049,0.109,3
7,9,-0.027,-1.000,-0.015,0.881,3
8,9,19.000,-1.000,0.000,-0.010,0
9,9,-0.010,0.000,-0.010,0.000,1
